parameter_set,key_rep,reference_index,relative_index,signature_index,sign_ns
XMSS-SHA2_16_256,PUB_R2,4096,-2,4094,3377852
XMSS-SHA2_16_256,PUB_R2,4096,-1,4095,20240667
XMSS-SHA2_16_256,PUB_R2,4096,0,4096,22624925
XMSS-SHA2_16_256,PUB_R2,4096,1,4097,20315630
XMSS-SHA2_16_256,PUB_R2,4096,2,4098,22396703
XMSS-SHA2_16_256,PUB_R2,4096,3,4099,20281630
XMSS-SHA2_16_256,PUB_R2,4096,4,4100,22706000
XMSS-SHA2_16_256,PUB_R2,8192,-4,8188,3465556
XMSS-SHA2_16_256,PUB_R2,8192,-3,8189,3568148
XMSS-SHA2_16_256,PUB_R2,8192,-2,8190,3551908
XMSS-SHA2_16_256,PUB_R2,8192,-1,8191,20278037
XMSS-SHA2_16_256,PUB_R2,8192,0,8192,22622500
XMSS-SHA2_16_256,PUB_R2,8192,1,8193,20221445
XMSS-SHA2_16_256,PUB_R2,8192,2,8194,22699093
XMSS-SHA2_16_256,PUB_R2,8192,3,8195,20186389
XMSS-SHA2_16_256,PUB_R2,8192,4,8196,22565260
XMSS-SHA2_16_256,PUB_R2,16384,-4,16380,3624111
XMSS-SHA2_16_256,PUB_R2,16384,-3,16381,3462963
XMSS-SHA2_16_256,PUB_R2,16384,-2,16382,3530759
XMSS-SHA2_16_256,PUB_R2,16384,-1,16383,20260778
XMSS-SHA2_16_256,PUB_R2,16384,0,16384,22624018
XMSS-SHA2_16_256,PUB_R2,16384,1,16385,20276704
XMSS-SHA2_16_256,PUB_R2,16384,2,16386,22741075
XMSS-SHA2_16_256,PUB_R2,16384,3,16387,20285444
XMSS-SHA2_16_256,PUB_R2,16384,4,16388,22656000
XMSS-SHA2_16_256,PUB_R2,32768,-4,32764,3331611
XMSS-SHA2_16_256,PUB_R2,32768,-3,32765,3371389
XMSS-SHA2_16_256,PUB_R2,32768,-2,32766,3524574
XMSS-SHA2_16_256,PUB_R2,32768,-1,32767,20318426
XMSS-SHA2_16_256,PUB_R2,32768,0,32768,22665611
XMSS-SHA2_16_256,PUB_R2,32768,1,32769,20309833
XMSS-SHA2_16_256,PUB_R2,32768,2,32770,22600500
XMSS-SHA2_16_256,PUB_R2,32768,3,32771,20282148
XMSS-SHA2_16_256,PUB_R2,32768,4,32772,22660056
XMSS-SHA2_16_256,PUB_R3,4,-4,0,3531056
XMSS-SHA2_16_256,PUB_R3,4,-3,1,3639852
XMSS-SHA2_16_256,PUB_R3,4,-2,2,3759314
XMSS-SHA2_16_256,PUB_R3,4,-1,3,8478407
XMSS-SHA2_16_256,PUB_R3,4,0,4,3620370
XMSS-SHA2_16_256,PUB_R3,4,1,5,3668223
XMSS-SHA2_16_256,PUB_R3,4,2,6,3644463
XMSS-SHA2_16_256,PUB_R3,4,3,7,18684889
XMSS-SHA2_16_256,PUB_R3,4,4,8,3429371
XMSS-SHA2_16_256,PUB_R3,8,-4,4,3620370
XMSS-SHA2_16_256,PUB_R3,8,-3,5,3668223
XMSS-SHA2_16_256,PUB_R3,8,-2,6,3644463
XMSS-SHA2_16_256,PUB_R3,8,-1,7,18684889
XMSS-SHA2_16_256,PUB_R3,8,0,8,3429371
XMSS-SHA2_16_256,PUB_R3,8,1,9,3756315
XMSS-SHA2_16_256,PUB_R3,8,2,10,3619407
XMSS-SHA2_16_256,PUB_R3,8,3,11,8733204
XMSS-SHA2_16_256,PUB_R3,8,4,12,3706518
XMSS-SHA2_16_256,PUB_R3,16,-4,12,3706518
XMSS-SHA2_16_256,PUB_R3,16,-3,13,3696740
XMSS-SHA2_16_256,PUB_R3,16,-2,14,3549037
XMSS-SHA2_16_256,PUB_R3,16,-1,15,20964352
XMSS-SHA2_16_256,PUB_R3,16,0,16,20953351
XMSS-SHA2_16_256,PUB_R3,16,1,17,3624333
XMSS-SHA2_16_256,PUB_R3,16,2,18,3495574
XMSS-SHA2_16_256,PUB_R3,16,3,19,8494426
XMSS-SHA2_16_256,PUB_R3,16,4,20,3690629
XMSS-SHA2_16_256,PUB_R3,32,-4,28,3656722
XMSS-SHA2_16_256,PUB_R3,32,-3,29,3524204
XMSS-SHA2_16_256,PUB_R3,32,-2,30,3708074
XMSS-SHA2_16_256,PUB_R3,32,-1,31,21054074
XMSS-SHA2_16_256,PUB_R3,32,0,32,23487981
XMSS-SHA2_16_256,PUB_R3,32,1,33,21025166
XMSS-SHA2_16_256,PUB_R3,32,2,34,23485518
XMSS-SHA2_16_256,PUB_R3,32,3,35,8705092
XMSS-SHA2_16_256,PUB_R3,32,4,36,3661296
XMSS-SHA2_16_256,PUB_R3,64,-4,60,3738945
XMSS-SHA2_16_256,PUB_R3,64,-3,61,3545778
XMSS-SHA2_16_256,PUB_R3,64,-2,62,3631908
XMSS-SHA2_16_256,PUB_R3,64,-1,63,20979296
XMSS-SHA2_16_256,PUB_R3,64,0,64,23634667
XMSS-SHA2_16_256,PUB_R3,64,1,65,20980722
XMSS-SHA2_16_256,PUB_R3,64,2,66,23687445
XMSS-SHA2_16_256,PUB_R3,64,3,67,21126389
XMSS-SHA2_16_256,PUB_R3,64,4,68,23471852
XMSS-SHA2_16_256,PUB_R3,128,-4,124,3588982
XMSS-SHA2_16_256,PUB_R3,128,-3,125,3684870
XMSS-SHA2_16_256,PUB_R3,128,-2,126,3421685
XMSS-SHA2_16_256,PUB_R3,128,-1,127,21044944
XMSS-SHA2_16_256,PUB_R3,128,0,128,23434852
XMSS-SHA2_16_256,PUB_R3,128,1,129,21126426
XMSS-SHA2_16_256,PUB_R3,128,2,130,23519833
XMSS-SHA2_16_256,PUB_R3,128,3,131,20993056
XMSS-SHA2_16_256,PUB_R3,128,4,132,23493130
XMSS-SHA2_16_256,PUB_R3,256,-4,252,3584556
XMSS-SHA2_16_256,PUB_R3,256,-3,253,3714889
XMSS-SHA2_16_256,PUB_R3,256,-2,254,3622241
XMSS-SHA2_16_256,PUB_R3,256,-1,255,21077833
XMSS-SHA2_16_256,PUB_R3,256,0,256,23532611
XMSS-SHA2_16_256,PUB_R3,256,1,257,21063611
XMSS-SHA2_16_256,PUB_R3,256,2,258,23506370
XMSS-SHA2_16_256,PUB_R3,256,3,259,21027444
XMSS-SHA2_16_256,PUB_R3,256,4,260,23414426
XMSS-SHA2_16_256,PUB_R3,512,-4,508,3701630
XMSS-SHA2_16_256,PUB_R3,512,-3,509,3623870
XMSS-SHA2_16_256,PUB_R3,512,-2,510,3586760
XMSS-SHA2_16_256,PUB_R3,512,-1,511,20761704
XMSS-SHA2_16_256,PUB_R3,512,0,512,23340315
XMSS-SHA2_16_256,PUB_R3,512,1,513,21091815
XMSS-SHA2_16_256,PUB_R3,512,2,514,23445981
XMSS-SHA2_16_256,PUB_R3,512,3,515,20932093
XMSS-SHA2_16_256,PUB_R3,512,4,516,23749759
XMSS-SHA2_16_256,PUB_R3,1024,-4,1020,3685407
XMSS-SHA2_16_256,PUB_R3,1024,-3,1021,3749685
XMSS-SHA2_16_256,PUB_R3,1024,-2,1022,3656408
XMSS-SHA2_16_256,PUB_R3,1024,-1,1023,21102260
XMSS-SHA2_16_256,PUB_R3,1024,0,1024,23381648
XMSS-SHA2_16_256,PUB_R3,1024,1,1025,21211537
XMSS-SHA2_16_256,PUB_R3,1024,2,1026,23390852
XMSS-SHA2_16_256,PUB_R3,1024,3,1027,20953815
XMSS-SHA2_16_256,PUB_R3,1024,4,1028,23444723
XMSS-SHA2_16_256,PUB_R3,2048,-4,2044,3751759
XMSS-SHA2_16_256,PUB_R3,2048,-3,2045,3519241
XMSS-SHA2_16_256,PUB_R3,2048,-2,2046,3617760
XMSS-SHA2_16_256,PUB_R3,2048,-1,2047,20987018
XMSS-SHA2_16_256,PUB_R3,2048,0,2048,23438074
XMSS-SHA2_16_256,PUB_R3,2048,1,2049,20981500
XMSS-SHA2_16_256,PUB_R3,2048,2,2050,23288963
XMSS-SHA2_16_256,PUB_R3,2048,3,2051,20922574
XMSS-SHA2_16_256,PUB_R3,2048,4,2052,23478019
XMSS-SHA2_16_256,PUB_R3,4096,-4,4092,3613908
XMSS-SHA2_16_256,PUB_R3,4096,-3,4093,3660963
XMSS-SHA2_16_256,PUB_R3,4096,-2,4094,3616093
XMSS-SHA2_16_256,PUB_R3,4096,-1,4095,21003981
XMSS-SHA2_16_256,PUB_R3,4096,0,4096,23446222
XMSS-SHA2_16_256,PUB_R3,4096,1,4097,20883333
XMSS-SHA2_16_256,PUB_R3,4096,2,4098,23426481
XMSS-SHA2_16_256,PUB_R3,4096,3,4099,20868740
XMSS-SHA2_16_256,PUB_R3,4096,4,4100,23476740
XMSS-SHA2_16_256,PUB_R3,8192,-4,8188,3732963
XMSS-SHA2_16_256,PUB_R3,8192,-3,8189,3599148
XMSS-SHA2_16_256,PUB_R3,8192,-2,8190,3584593
XMSS-SHA2_16_256,PUB_R3,8192,-1,8191,21020778
XMSS-SHA2_16_256,PUB_R3,8192,0,8192,23494778
XMSS-SHA2_16_256,PUB_R3,8192,1,8193,20925092
XMSS-SHA2_16_256,PUB_R3,8192,2,8194,23287833
XMSS-SHA2_16_256,PUB_R3,8192,3,8195,21075000
XMSS-SHA2_16_256,PUB_R3,8192,4,8196,23444889
XMSS-SHA2_16_256,PUB_R3,16384,-4,16380,3753352
XMSS-SHA2_16_256,PUB_R3,16384,-3,16381,3544222
XMSS-SHA2_16_256,PUB_R3,16384,-2,16382,3688982
XMSS-SHA2_16_256,PUB_R3,16384,-1,16383,20941778
XMSS-SHA2_16_256,PUB_R3,16384,0,16384,23654611
XMSS-SHA2_16_256,PUB_R3,16384,1,16385,20879149
XMSS-SHA2_16_256,PUB_R3,16384,2,16386,23525944
XMSS-SHA2_16_256,PUB_R3,16384,3,16387,21019592
XMSS-SHA2_16_256,PUB_R3,16384,4,16388,23489296
XMSS-SHA2_16_256,PUB_R3,32768,-4,32764,3655371
XMSS-SHA2_16_256,PUB_R3,32768,-3,32765,3660722
XMSS-SHA2_16_256,PUB_R3,32768,-2,32766,3600500
XMSS-SHA2_16_256,PUB_R3,32768,-1,32767,20974111
XMSS-SHA2_16_256,PUB_R3,32768,0,32768,23625259
XMSS-SHA2_16_256,PUB_R3,32768,1,32769,20994852
XMSS-SHA2_16_256,PUB_R3,32768,2,32770,23506408
XMSS-SHA2_16_256,PUB_R3,32768,3,32771,21082852
XMSS-SHA2_16_256,PUB_R3,32768,4,32772,23479426
