parameter_set,key_rep,reference_index,relative_index,signature_index,sign_ns
XMSS-SHA2_10_256,PUB_R2,256,1,257,12947833
XMSS-SHA2_10_256,PUB_R2,256,2,258,15541111
XMSS-SHA2_10_256,PUB_R2,256,3,259,13097889
XMSS-SHA2_10_256,PUB_R2,256,4,260,15455074
XMSS-SHA2_10_256,PUB_R2,512,-4,508,3519908
XMSS-SHA2_10_256,PUB_R2,512,-3,509,3557241
XMSS-SHA2_10_256,PUB_R2,512,-2,510,3491685
XMSS-SHA2_10_256,PUB_R2,512,-1,511,12957629
XMSS-SHA2_10_256,PUB_R2,512,0,512,15395870
XMSS-SHA2_10_256,PUB_R2,512,1,513,13003537
XMSS-SHA2_10_256,PUB_R2,512,2,514,15308574
XMSS-SHA2_10_256,PUB_R2,512,3,515,13003741
XMSS-SHA2_10_256,PUB_R2,512,4,516,15458315
XMSS-SHA2_10_256,PUB_R3,4,-4,0,3358778
XMSS-SHA2_10_256,PUB_R3,4,-3,1,3586667
XMSS-SHA2_10_256,PUB_R3,4,-2,2,3457130
XMSS-SHA2_10_256,PUB_R3,4,-1,3,8067445
XMSS-SHA2_10_256,PUB_R3,4,0,4,3484037
XMSS-SHA2_10_256,PUB_R3,4,1,5,3521723
XMSS-SHA2_10_256,PUB_R3,4,2,6,3539555
XMSS-SHA2_10_256,PUB_R3,4,3,7,12903148
XMSS-SHA2_10_256,PUB_R3,4,4,8,8481537
XMSS-SHA2_10_256,PUB_R3,8,-4,4,3484037
XMSS-SHA2_10_256,PUB_R3,8,-3,5,3521723
XMSS-SHA2_10_256,PUB_R3,8,-2,6,3539555
XMSS-SHA2_10_256,PUB_R3,8,-1,7,12903148
XMSS-SHA2_10_256,PUB_R3,8,0,8,8481537
XMSS-SHA2_10_256,PUB_R3,8,1,9,3453241
XMSS-SHA2_10_256,PUB_R3,8,2,10,3530093
XMSS-SHA2_10_256,PUB_R3,8,3,11,8120907
XMSS-SHA2_10_256,PUB_R3,8,4,12,3535278
XMSS-SHA2_10_256,PUB_R3,16,-4,12,3535278
XMSS-SHA2_10_256,PUB_R3,16,-3,13,3581408
XMSS-SHA2_10_256,PUB_R3,16,-2,14,3487426
XMSS-SHA2_10_256,PUB_R3,16,-1,15,13081889
XMSS-SHA2_10_256,PUB_R3,16,0,16,15395648
XMSS-SHA2_10_256,PUB_R3,16,1,17,13044777
XMSS-SHA2_10_256,PUB_R3,16,2,18,5743093
XMSS-SHA2_10_256,PUB_R3,16,3,19,8207389
