parameter_set,key_rep,boundary_index,relative_index,signature_index,sign_ns
XMSSMT-SHA2_20/4_256,PUB_R1,352,1,353,6362352
XMSSMT-SHA2_20/4_256,PUB_R1,352,2,354,6573148
XMSSMT-SHA2_20/4_256,PUB_R1,352,3,355,9157593
XMSSMT-SHA2_20/4_256,PUB_R1,352,4,356,9172907
XMSSMT-SHA2_20/4_256,PUB_R1,384,-4,380,6537241
XMSSMT-SHA2_20/4_256,PUB_R1,384,-3,381,3749389
XMSSMT-SHA2_20/4_256,PUB_R1,384,-2,382,6626852
XMSSMT-SHA2_20/4_256,PUB_R1,384,-1,383,7602426
XMSSMT-SHA2_20/4_256,PUB_R1,384,0,384,11831241
XMSSMT-SHA2_20/4_256,PUB_R1,384,1,385,6537778
XMSSMT-SHA2_20/4_256,PUB_R1,384,2,386,6595222
XMSSMT-SHA2_20/4_256,PUB_R1,384,3,387,9278241
XMSSMT-SHA2_20/4_256,PUB_R1,384,4,388,9212611
XMSSMT-SHA2_20/4_256,PUB_R1,416,-4,412,6561908
XMSSMT-SHA2_20/4_256,PUB_R1,416,-3,413,4033778
XMSSMT-SHA2_20/4_256,PUB_R1,416,-2,414,6749445
XMSSMT-SHA2_20/4_256,PUB_R1,416,-1,415,8114000
XMSSMT-SHA2_20/4_256,PUB_R1,416,0,416,6499407
XMSSMT-SHA2_20/4_256,PUB_R1,416,1,417,6611759
XMSSMT-SHA2_20/4_256,PUB_R1,416,2,418,6654092
XMSSMT-SHA2_20/4_256,PUB_R1,416,3,419,9191500
XMSSMT-SHA2_20/4_256,PUB_R1,416,4,420,9088685
XMSSMT-SHA2_20/4_256,PUB_R1,448,-4,444,6675833
XMSSMT-SHA2_20/4_256,PUB_R1,448,-3,445,3891926
XMSSMT-SHA2_20/4_256,PUB_R1,448,-2,446,6645297
XMSSMT-SHA2_20/4_256,PUB_R1,448,-1,447,7889167
XMSSMT-SHA2_20/4_256,PUB_R1,448,0,448,6385315
XMSSMT-SHA2_20/4_256,PUB_R1,448,1,449,6380667
XMSSMT-SHA2_20/4_256,PUB_R1,448,2,450,6383537
XMSSMT-SHA2_20/4_256,PUB_R1,448,3,451,9065907
XMSSMT-SHA2_20/4_256,PUB_R1,448,4,452,9276667
XMSSMT-SHA2_20/4_256,PUB_R1,480,-4,476,6561018
XMSSMT-SHA2_20/4_256,PUB_R1,480,-3,477,4031852
XMSSMT-SHA2_20/4_256,PUB_R1,480,-2,478,6588834
XMSSMT-SHA2_20/4_256,PUB_R1,480,-1,479,7963870
XMSSMT-SHA2_20/4_256,PUB_R1,480,0,480,6581500
XMSSMT-SHA2_20/4_256,PUB_R1,480,1,481,6547389
XMSSMT-SHA2_20/4_256,PUB_R1,480,2,482,6601389
XMSSMT-SHA2_20/4_256,PUB_R1,480,3,483,9261648
XMSSMT-SHA2_20/4_256,PUB_R1,480,4,484,9079463
XMSSMT-SHA2_20/4_256,PUB_R1,512,-4,508,6594352
XMSSMT-SHA2_20/4_256,PUB_R1,512,-3,509,3884926
XMSSMT-SHA2_20/4_256,PUB_R1,512,-2,510,6563611
XMSSMT-SHA2_20/4_256,PUB_R1,512,-1,511,7794222
XMSSMT-SHA2_20/4_256,PUB_R1,512,0,512,11948926
XMSSMT-SHA2_20/4_256,PUB_R1,512,1,513,9246982
XMSSMT-SHA2_20/4_256,PUB_R1,512,2,514,11792203
XMSSMT-SHA2_20/4_256,PUB_R1,512,3,515,9251963
XMSSMT-SHA2_20/4_256,PUB_R1,512,4,516,11805926
XMSSMT-SHA2_20/4_256,PUB_R1,544,-4,540,6606740
XMSSMT-SHA2_20/4_256,PUB_R1,544,-3,541,3955685
XMSSMT-SHA2_20/4_256,PUB_R1,544,-2,542,6591741
XMSSMT-SHA2_20/4_256,PUB_R1,544,-1,543,7908185
XMSSMT-SHA2_20/4_256,PUB_R1,544,0,544,6422574
XMSSMT-SHA2_20/4_256,PUB_R1,544,1,545,6603315
XMSSMT-SHA2_20/4_256,PUB_R1,544,2,546,6518426
XMSSMT-SHA2_20/4_256,PUB_R1,544,3,547,9251334
XMSSMT-SHA2_20/4_256,PUB_R1,544,4,548,9204926
XMSSMT-SHA2_20/4_256,PUB_R1,576,-4,572,6553888
XMSSMT-SHA2_20/4_256,PUB_R1,576,-3,573,3867833
XMSSMT-SHA2_20/4_256,PUB_R1,576,-2,574,6483315
XMSSMT-SHA2_20/4_256,PUB_R1,576,-1,575,8079112
XMSSMT-SHA2_20/4_256,PUB_R1,576,0,576,6385352
XMSSMT-SHA2_20/4_256,PUB_R1,576,1,577,6539630
XMSSMT-SHA2_20/4_256,PUB_R1,576,2,578,6527500
XMSSMT-SHA2_20/4_256,PUB_R1,576,3,579,9080222
XMSSMT-SHA2_20/4_256,PUB_R1,576,4,580,9160297
XMSSMT-SHA2_20/4_256,PUB_R1,608,-4,604,6419241
XMSSMT-SHA2_20/4_256,PUB_R1,608,-3,605,4076055
XMSSMT-SHA2_20/4_256,PUB_R1,608,-2,606,6679630
XMSSMT-SHA2_20/4_256,PUB_R1,608,-1,607,7900759
XMSSMT-SHA2_20/4_256,PUB_R1,608,0,608,6523240
XMSSMT-SHA2_20/4_256,PUB_R1,608,1,609,6480741
XMSSMT-SHA2_20/4_256,PUB_R1,608,2,610,6582296
XMSSMT-SHA2_20/4_256,PUB_R1,608,3,611,9230907
XMSSMT-SHA2_20/4_256,PUB_R1,608,4,612,9173889
XMSSMT-SHA2_20/4_256,PUB_R1,640,-4,636,6666648
XMSSMT-SHA2_20/4_256,PUB_R1,640,-3,637,3836648
XMSSMT-SHA2_20/4_256,PUB_R1,640,-2,638,6350371
XMSSMT-SHA2_20/4_256,PUB_R1,640,-1,639,7899000
XMSSMT-SHA2_20/4_256,PUB_R1,640,0,640,11855519
XMSSMT-SHA2_20/4_256,PUB_R1,640,1,641,6333741
XMSSMT-SHA2_20/4_256,PUB_R1,640,2,642,6600815
XMSSMT-SHA2_20/4_256,PUB_R1,640,3,643,8995296
XMSSMT-SHA2_20/4_256,PUB_R1,640,4,644,9092982
XMSSMT-SHA2_20/4_256,PUB_R1,672,-4,668,6488426
XMSSMT-SHA2_20/4_256,PUB_R1,672,-3,669,3812796
XMSSMT-SHA2_20/4_256,PUB_R1,672,-2,670,6741148
XMSSMT-SHA2_20/4_256,PUB_R1,672,-1,671,7945371
XMSSMT-SHA2_20/4_256,PUB_R1,672,0,672,6601777
XMSSMT-SHA2_20/4_256,PUB_R1,672,1,673,6588333
XMSSMT-SHA2_20/4_256,PUB_R1,672,2,674,6398222
XMSSMT-SHA2_20/4_256,PUB_R1,672,3,675,9168463
XMSSMT-SHA2_20/4_256,PUB_R1,672,4,676,9127037
XMSSMT-SHA2_20/4_256,PUB_R1,704,-4,700,6499629
XMSSMT-SHA2_20/4_256,PUB_R1,704,-3,701,3768463
XMSSMT-SHA2_20/4_256,PUB_R1,704,-2,702,6582278
XMSSMT-SHA2_20/4_256,PUB_R1,704,-1,703,8032592
XMSSMT-SHA2_20/4_256,PUB_R1,704,0,704,6396222
XMSSMT-SHA2_20/4_256,PUB_R1,704,1,705,6623593
XMSSMT-SHA2_20/4_256,PUB_R1,704,2,706,6510223
XMSSMT-SHA2_20/4_256,PUB_R1,704,3,707,9286871
XMSSMT-SHA2_20/4_256,PUB_R1,704,4,708,9153482
XMSSMT-SHA2_20/4_256,PUB_R1,736,-4,732,6609407
XMSSMT-SHA2_20/4_256,PUB_R1,736,-3,733,3975259
XMSSMT-SHA2_20/4_256,PUB_R1,736,-2,734,6546296
XMSSMT-SHA2_20/4_256,PUB_R1,736,-1,735,7678389
XMSSMT-SHA2_20/4_256,PUB_R1,736,0,736,6451333
XMSSMT-SHA2_20/4_256,PUB_R1,736,1,737,6469389
XMSSMT-SHA2_20/4_256,PUB_R1,736,2,738,6614685
XMSSMT-SHA2_20/4_256,PUB_R1,736,3,739,9109092
XMSSMT-SHA2_20/4_256,PUB_R1,736,4,740,9245297
XMSSMT-SHA2_20/4_256,PUB_R1,768,-4,764,6490037
XMSSMT-SHA2_20/4_256,PUB_R1,768,-3,765,3931092
XMSSMT-SHA2_20/4_256,PUB_R1,768,-2,766,6523740
XMSSMT-SHA2_20/4_256,PUB_R1,768,-1,767,7703241
XMSSMT-SHA2_20/4_256,PUB_R1,768,0,768,11784093
XMSSMT-SHA2_20/4_256,PUB_R1,768,1,769,6412093
XMSSMT-SHA2_20/4_256,PUB_R1,768,2,770,6649981
XMSSMT-SHA2_20/4_256,PUB_R1,768,3,771,9307907
XMSSMT-SHA2_20/4_256,PUB_R1,768,4,772,9177908
XMSSMT-SHA2_20/4_256,PUB_R1,800,-4,796,6641537
XMSSMT-SHA2_20/4_256,PUB_R1,800,-3,797,3847908
XMSSMT-SHA2_20/4_256,PUB_R1,800,-2,798,6659889
